"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","gemeinden_n","pop_20_sum","pop20_MEAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","change_pc_bs_mean"
"892000","Gewaltkriminalität",9675,"Kitzingen","LK",105,114,28,"26.7",1,2,97,"92.4",119,101,18,51,"42.9",31,89723.0911,11.0858,1137.8932,221.2452,119.6813,65.5197,5.8861,5.3265,0.3339,0.0379,29.4926,2.9079
"892000","Gewaltkriminalität",9676,"Miltenberg","LK",106,82,16,"15.1",0,0,106,"100",128,99,29,49,"38.3",34,131570.1156,14.3699,1212.9409,147.4142,112.43,62.3721,6.3,5.7647,0.3218,0.0505,30.6214,3.9169
"892000","Gewaltkriminalität",9677,"Main-Spessart","LK",124,98,25,"20.2",1,0,115,"92.7",133,110,23,55,"41.4",50,129432.3997,9.5091,898.5544,146.738,117.924,61.5326,7.0175,4.9528,0.3166,0.0268,32.5299,5.0801
"892000","Gewaltkriminalität",9678,"Schweinfurt","LK",137,118,31,"22.6",0,0,127,"92.7",143,127,16,83,"58",36,115497.4474,10.9889,1024.6138,154.4597,118.6814,57.9054,5.381,5.2748,0.3347,0.0529,30.636,10.0504
"892000","Gewaltkriminalität",9679,"Würzburg","LK",127,78,25,"19.7",0,1,115,"90.6",136,114,22,50,"36.8",55,162944.3703,14.7759,1230.5532,178.8588,117.4302,63.9366,5.57,6.0419,0.3296,0.0539,30.5621,1.3323
"892000","Gewaltkriminalität",9761,"Augsburg","KfS",863,291,186,"21.6",1,4,691,"80.1",828,694,134,374,"45.2",1,284747.6906,41.7825,1634.0067,63.0414,76.4,54.8328,3.92,8.48,0.2246,0.6524,25.6045,1.7703
"892000","Gewaltkriminalität",9762,"Kaufbeuren","KfS",109,242,26,"23.9",0,0,99,"90.8",115,98,17,44,"38.3",1,42694.3077,25.891,1392.7936,95.7209,86.21,58.8203,3.8,6.85,0.2493,0.3926,30.0978,1.6172
"892000","Gewaltkriminalität",9763,"Kempten (Allgäu)","KfS",141,204,24,"17",2,0,116,"82.3",125,106,19,49,"39.2",1,67993.0986,27.707,1279.653,89.2466,83.17,59.6274,2.91,7.18,0.2187,0.5111,29.0761,4.3104
"892000","Gewaltkriminalität",9764,"Memmingen","KfS",108,241,15,"13.9",0,0,90,"83.3",115,102,13,42,"36.5",1,42905.3989,21.5065,1374.7576,113.1339,90.01,62.4453,3.99,6.51,0.263,0.38,29.0462,2.6594
"892000","Gewaltkriminalität",9771,"Aichach-Friedberg","LK",86,63,18,"20.9",1,1,66,"76.7",91,72,19,44,"48.4",24,131348.4172,10.5152,1091.0809,183.2868,126.3438,65.4207,4.42,6.9967,0.3916,0.0668,26.6139,8.9332
"892000","Gewaltkriminalität",9772,"Augsburg","LK",275,107,61,"22.2",2,5,238,"86.5",277,214,63,97,"35",47,245554.6561,11.8463,1094.2035,160.6641,120.7352,64.264,4.2996,6.8165,0.3642,0.0929,27.1586,7.4952
"892000","Gewaltkriminalität",9773,"Dillingen a.d.Donau","LK",124,127,24,"19.4",1,0,103,"83.1",118,93,25,44,"37.3",27,95387.3946,9.0902,1077.0572,211.9226,124.3652,65.1411,4.6222,5.7133,0.3812,0.0391,29.0785,9.0649
"892000","Gewaltkriminalität",9774,"Günzburg","LK",163,127,25,"15.3",1,0,138,"84.7",181,155,26,75,"41.4",36,123041.0975,8.8234,959.2553,179.8572,122.7097,62.1917,5.3433,5.9768,0.3793,0.0585,27.3218,7.6287
"892000","Gewaltkriminalität",9775,"Neu-Ulm","LK",275,155,56,"20.4",1,3,232,"84.4",265,228,37,123,"46.4",21,171469.6705,11.8444,1015.3239,126.0745,112.8106,59.0586,4.0453,6.8047,0.3405,0.1216,27.5243,7.9421
"892000","Gewaltkriminalität",9776,"Lindau (Bodensee)","LK",106,129,20,"18.9",0,0,99,"93.4",116,95,21,44,"37.9",19,82258.3489,11.3093,805.594,131.1631,106.5042,64.191,4.4463,7.4374,0.2994,0.148,29.2464,11.392
"892000","Gewaltkriminalität",9777,"Ostallgäu","LK",131,91,28,"21.4",0,0,115,"87.8",141,114,27,58,"41.1",45,136733.3539,8.0836,841.1014,212.4755,120.2689,66.4536,4.9707,6.4284,0.3456,0.0561,27.9866,3.8215
"892000","Gewaltkriminalität",9778,"Unterallgäu","LK",135,91,34,"25.2",0,1,118,"87.4",127,93,34,62,"48.8",53,138909.3012,8.3223,908.5527,199.8749,125.6448,68.0878,5.3738,6.026,0.3663,0.0517,27.3113,4.1848
"892000","Gewaltkriminalität",9779,"Donau-Ries","LK",145,107,28,"19.3",0,0,135,"93.1",163,148,15,61,"37.4",46,122107.2487,8.0821,991.4055,203.7139,129.6639,67.0038,5.7795,5.3861,0.3873,0.0337,28.3448,6.9774
"892000","Gewaltkriminalität",9780,"Oberallgäu","LK",142,90,28,"19.7",0,1,135,"95.1",156,126,30,58,"37.2",29,152056.0662,8.5504,700.3613,159.0512,99.9968,61.0121,4.5607,7.0268,0.2809,0.2041,30.2355,2.3533
"892000","Gewaltkriminalität",10041,"Regionalverband Saarbrücken","RV",1207,369,173,"14.3",22,10,965,"80",1162,965,197,479,"41.2",10,337467.7361,20.2281,1510.2912,124.553,105.16,65.2868,5.948,5.649,0.2549,0.1059,34.3752,3.7111
"892000","Gewaltkriminalität",10042,"Merzig-Wadern","LK",146,141,28,"19.2",0,0,133,"91.1",148,118,30,34,"23",7,101943.9451,12.1141,1228.7214,174.0136,124.1157,71.5429,4.5757,6.0814,0.3115,0.0638,31.8485,9.3241
"892000","Gewaltkriminalität",10043,"Neunkirchen","LK",297,227,41,"13.8",7,2,236,"79.5",292,254,38,101,"34.6",7,130597.9999,18.2611,1506.5247,132.4395,108.98,67.0172,5.9671,5.4943,0.2655,0.0759,34.4848,5.9028
"892000","Gewaltkriminalität",10044,"Saarlouis","LK",455,235,75,"16.5",3,2,376,"82.6",454,380,74,152,"33.5",13,191659.2185,16.1367,1428.829,151.409,116.6615,69.8291,4.6638,5.7831,0.2993,0.0718,33.4821,4.0872
"892000","Gewaltkriminalität",10045,"Saarpfalz-Kreis","LK",263,187,30,"11.4",3,3,233,"88.6",278,234,44,88,"31.7",7,140572.5215,14.7867,1373.6388,150.0493,115.92,69.8202,5.1914,5.8743,0.2772,0.0805,35.1881,3.0835
"892000","Gewaltkriminalität",10046,"St. Wendel","LK",130,151,15,"11.5",0,2,111,"85.4",130,108,22,20,"15.4",8,87164.5552,11.8712,1167.6317,158.4889,123.4162,71.8276,5.18,5.2238,0.2985,0.0351,35.228,12.5086
"892000","Gewaltkriminalität",11000,"Berlin","KfS",17947,488,3530,"19.7",176,93,11159,"62.2",12221,10238,1983,5588,"45.7",1,3595815.4912,59.2538,1863.8972,43.8414,73.22,53.4686,1.97,7.67,0.1986,0.8146,25.4896,4.144
"892000","Gewaltkriminalität",12051,"Brandenburg an der Havel","KfS",224,309,38,"17",0,8,183,"81.7",214,170,44,64,"29.9",1,70195.4296,14.8782,1271.0113,164.2261,73.14,54.8317,8.64,5.88,0.181,0.559,35.9881,3.8992
"892000","Gewaltkriminalität",12052,"Cottbus","KfS",334,340,70,"21",1,4,267,"79.9",307,270,37,90,"29.3",1,103646.3263,20.2513,1315.2,116.0346,75.1,56.7052,6.42,5.58,0.1648,0.6629,35.2682,5.8745
"892000","Gewaltkriminalität",12053,"Frankfurt (Oder)","KfS",197,348,33,"16.8",1,2,145,"73.6",178,151,27,65,"36.5",1,57211.5816,17.9741,1192.9809,128.5774,72.69,58.5125,6.31,5.41,0.1746,0.6763,36.8618,6.6815
"892000","Gewaltkriminalität",12054,"Potsdam","KfS",374,204,62,"16.6",2,0,277,"74.1",324,279,45,122,"37.7",1,193522.2825,33.2913,1349.5315,73.4437,75.78,55.1229,2.46,7.85,0.2129,0.6937,26.3635,7.9604
"892000","Gewaltkriminalität",12060,"Barnim","LK",278,147,43,"15.5",1,1,231,"83.1",281,240,41,70,"24.9",25,172118.8893,7.8093,884.5608,198.9476,99.9948,58.6163,4.2873,5.5644,0.2805,0.1108,34.226,7.2988
"892000","Gewaltkriminalität",12061,"Dahme-Spreewald","LK",259,147,34,"13.1",2,3,206,"79.5",249,222,27,67,"26.9",37,158017.5341,6.8006,809.5027,224.0335,100.6135,60.3924,5.7141,5.7427,0.279,0.1143,36.2696,6.3486
"892000","Gewaltkriminalität",12062,"Elbe-Elster","LK",160,159,22,"13.8",1,1,129,"80.6",146,136,10,28,"19.2",33,101739.2842,6.4587,904.615,238.9288,100.6179,60.1539,8.2809,4.6597,0.2695,0.0931,39.2748,2.4602
"892000","Gewaltkriminalität",12063,"Havelland","LK",266,160,39,"14.7",3,2,216,"81.2",278,218,60,84,"30.2",26,152750.3036,7.1596,851.7824,212.7553,99.7381,58.4048,5.2491,5.6542,0.2781,0.1219,33.6664,9.2369
"892000","Gewaltkriminalität",12064,"Märkisch-Oderland","LK",360,182,74,"20.6",2,3,301,"83.6",357,292,65,88,"24.6",45,184671.4005,6.6059,806.0836,212.3606,99.0026,59.8274,5.6744,5.3548,0.2699,0.1113,34.5776,9.8139
"892000","Gewaltkriminalität",12065,"Oberhavel","LK",306,142,56,"18.3",2,1,251,"82",341,295,46,83,"24.3",19,202806.8288,11.5396,1085.8938,172.5115,96.1353,59.3085,4.3442,6.0726,0.2651,0.1821,33.3846,8.8732
"892000","Gewaltkriminalität",12066,"Oberspreewald-Lausitz","LK",235,218,42,"17.9",1,2,192,"81.7",215,182,33,30,"14",25,108948.9642,7.4692,960.2112,232.6426,96.9344,58.3904,7.3896,4.9852,0.2728,0.1634,37.1835,4.2003
"892000","Gewaltkriminalität",12067,"Oder-Spree","LK",290,162,43,"14.8",3,1,244,"84.1",308,262,46,93,"30.2",37,173278.4911,7.9031,930.3631,205.0658,102.4814,59.6023,4.0571,5.8,0.278,0.1251,37.4553,10.1146
"892000","Gewaltkriminalität",12068,"Ostprignitz-Ruppin","LK",258,261,54,"20.9",2,0,229,"88.8",253,209,44,84,"33.2",23,94541.0349,5.6221,765.0527,239.0435,99.9774,61.5532,5.6473,5.0783,0.2641,0.1147,36.6203,4.5262
"892000","Gewaltkriminalität",12069,"Potsdam-Mittelmark","LK",252,115,56,"22.2",4,1,208,"82.5",275,247,28,87,"31.6",38,202619.0722,7.6308,872.843,221.532,106.2247,59.5814,4.3089,5.6855,0.3098,0.1034,34.8573,6.1889
"892000","Gewaltkriminalität",12070,"Prignitz","LK",177,234,29,"16.4",1,1,150,"84.7",182,154,28,45,"24.7",26,73555.1214,5.1665,750.975,296.4234,103.5285,63.133,8.3764,4.5108,0.2613,0.0932,38.5218,5.4151
"892000","Gewaltkriminalität",12071,"Spree-Neiße","LK",153,137,30,"19.6",0,0,131,"85.6",133,105,28,29,"21.8",29,118805.4611,6.0144,776.7991,252.5777,102.4824,58.3727,8.1632,4.799,0.2891,0.1178,38.3119,5.4685
"892000","Gewaltkriminalität",12072,"Teltow-Fläming","LK",302,175,53,"17.5",2,0,240,"79.5",271,228,43,94,"34.7",16,157707.2751,8.2431,924.9094,225.6705,98.7725,59.6326,5.128,5.635,0.2796,0.1847,33.6059,5.0194
"892000","Gewaltkriminalität",12073,"Uckermark","LK",258,220,43,"16.7",0,1,215,"83.3",249,205,44,33,"13.3",33,115507.9725,5.0083,651.6991,231.9747,97.3725,61.7147,8.9741,4.6439,0.2599,0.1602,36.8381,7.6225
"892000","Gewaltkriminalität",13003,"Rostock","KfS",664,319,101,"15.2",0,0,485,"73",544,457,87,139,"25.6",1,195890.1771,28.6431,1211.8574,71.7233,66.05,53.7565,2.59,6.7,0.1507,0.7885,32.4097,5.8791
"892000","Gewaltkriminalität",13004,"Schwerin","KfS",459,479,53,"11.5",0,0,379,"82.6",471,404,67,182,"38.6",1,96355.8711,24.543,1321.9786,93.8489,71.46,54.4748,6.03,6.06,0.1649,0.6889,34.5547,3.8763
"892000","Gewaltkriminalität",13071,"Mecklenburgische Seenplatte","LK",491,191,67,"13.6",0,1,414,"84.3",501,430,71,97,"19.4",148,242790.8526,5.0838,690.1893,249.804,98.2285,61.0315,9.4263,4.7054,0.2599,0.1607,36.6088,7.5479
"892000","Gewaltkriminalität",13072,"Landkreis Rostock","LK",353,162,78,"22.1",0,3,319,"90.4",382,327,55,72,"18.8",112,203151.1575,6.4028,705.9407,190.3901,103.3544,60.0098,6.8809,5.4513,0.3043,0.1271,32.7779,10.4103
"892000","Gewaltkriminalität",13073,"Vorpommern-Rügen","LK",464,205,82,"17.7",0,0,393,"84.7",452,391,61,92,"20.4",101,209210.9334,5.9244,671.8778,203.595,94.7947,60.0663,7.2552,5.7613,0.2469,0.1506,36.8132,8.4045
"892000","Gewaltkriminalität",13074,"Nordwestmecklenburg","LK",324,204,78,"24.1",0,0,269,"83",312,249,63,53,"17",83,147769.8712,5.9987,710.7631,200.5335,103.7833,60.745,5.1702,5.4631,0.2937,0.1123,32.6717,9.7896
"892000","Gewaltkriminalität",13075,"Vorpommern-Greifswald","LK",374,159,67,"17.9",0,0,319,"85.3",388,324,64,57,"14.7",138,230716.6079,5.8132,731.7806,230.4583,96.6927,60.0032,8.8674,5.0783,0.2635,0.1551,37.3719,7.9495
"892000","Gewaltkriminalität",13076,"Ludwigslust-Parchim","LK",374,176,60,"16",1,0,326,"87.2",351,295,56,95,"27.1",142,198040.6399,5.4883,760.2916,252.6563,108.9878,62.9899,6.1129,4.9268,0.2953,0.0701,34.586,7.6553
"892000","Gewaltkriminalität",14511,"Chemnitz","KfS",688,283,93,"13.5",4,5,530,"77",591,497,94,288,"48.7",1,280083.1767,27.4996,1316.8944,77.7528,71.33,51.2018,10.95,5.26,0.1792,0.7,35.0294,11.4083
"892000","Gewaltkriminalität",14521,"Erzgebirgskreis","LK",308,94,45,"14.6",0,2,272,"88.3",315,272,43,90,"28.6",59,337686.8648,11.3321,998.41,138.2735,83.5378,50.5904,10.8224,4.5542,0.2534,0.1805,38.6981,6.4029
"892000","Gewaltkriminalität",14522,"Mittelsachsen","LK",315,105,49,"15.6",3,5,268,"85.1",339,289,50,86,"25.4",53,300889.5471,8.2091,880.25,179.9656,88.8558,53.861,9.8774,4.7513,0.2658,0.1763,37.4505,9.239
"892000","Gewaltkriminalität",14523,"Vogtlandkreis","LK",341,154,56,"16.4",2,3,291,"85.3",345,303,42,100,"29",37,224758.9849,8.8548,889.2603,175.6207,89.8138,55.1853,10.8986,4.393,0.249,0.1553,39.6814,7.5507
"892000","Gewaltkriminalität",14524,"Zwickau","LK",470,152,62,"13.2",3,4,400,"85.1",473,403,70,130,"27.5",33,322962.9848,10.8299,1049.3305,163.1463,87.7476,52.1383,10.2964,4.7761,0.2558,0.1938,37.5084,8.0645
"892000","Gewaltkriminalität",14612,"Dresden","KfS",1710,308,320,"18.7",9,10,1294,"75.7",1435,1288,147,593,"41.3",1,593321.2249,37.8635,1502.8448,61.667,71.24,49.8502,3.96,6.92,0.2025,0.7389,27.5618,2.8293
"892000","Gewaltkriminalität",14625,"Bautzen","LK",396,134,67,"16.9",0,8,333,"84.1",346,297,49,60,"17.3",57,294568.7517,8.2492,972.8704,192.3125,98.4153,55.2349,7.2577,4.9007,0.3126,0.1348,35.3774,7.593
"892000","Gewaltkriminalität",14626,"Görlitz","LK",433,174,69,"15.9",2,1,357,"82.4",387,318,69,80,"20.7",53,255453.8524,7.4032,872.4608,191.1713,96.603,57.7219,8.6526,4.5557,0.2599,0.1262,39.3575,9.0146
"892000","Gewaltkriminalität",14627,"Meißen","LK",285,119,44,"15.4",1,3,251,"88.1",290,251,39,60,"20.7",28,234413.0182,9.3013,1023.4072,193.4735,92.7832,55.2714,7.6071,5.2371,0.2814,0.1987,35.8615,2.8796
"892000","Gewaltkriminalität",14628,"Sächsische Schweiz-Osterzgebirge","LK",209,86,35,"16.7",1,2,186,"89",200,161,39,45,"22.5",36,235962.5092,8.7246,864.2294,158.8283,90.3589,53.0501,8.1239,5.1119,0.2718,0.1689,36.5195,9.9585
"892000","Gewaltkriminalität",14713,"Leipzig","KfS",2010,334,283,"14.1",17,6,1399,"69.6",1592,1389,203,679,"42.7",1,598034.3652,36.9956,1640.8595,69.457,72.13,51.3012,4.37,6.44,0.1841,0.8077,25.3682,2.9431
"892000","Gewaltkriminalität",14729,"Leipzig","LK",354,137,48,"13.6",0,3,301,"85",417,358,59,82,"19.7",30,259173.3927,10.5285,1090.5406,188.7721,91.7027,55.7129,7.1133,5.2713,0.2612,0.2329,35.1572,4.6632
"892000","Gewaltkriminalität",14730,"Nordsachsen","LK",353,179,53,"15",1,2,302,"85.6",336,286,50,75,"22.3",30,187793.7113,8.1499,1011.601,221.2654,95.4383,56.9424,7.165,4.896,0.2758,0.1839,35.4846,2.5407
"892000","Gewaltkriminalität",15001,"Dessau-Roßlau","KfS",261,332,36,"13.8",4,3,229,"87.7",248,214,34,65,"26.2",1,84171.079,18.2188,1324.5487,133.3901,77.68,56.8803,12.49,5.48,0.1693,0.5125,41.0756,0.5697
"892000","Gewaltkriminalität",15002,"Halle (Saale)","KfS",1355,569,263,"19.4",16,7,961,"70.9",1030,870,160,391,"38",1,247704.2082,33.8996,1588.1429,77.6916,70.36,53.2904,7.74,5.92,0.1647,0.7205,30.9256,2.366
"892000","Gewaltkriminalität",15003,"Magdeburg","KfS",1050,445,200,"19",17,4,796,"75.8",856,730,126,261,"30.5",1,246706.3442,27.2393,1564.712,91.936,72.52,52.1014,6.66,5.75,0.1787,0.6493,31.1345,3.9293
"892000","Gewaltkriminalität",15081,"Altmarkkreis Salzwedel","LK",172,210,30,"17.4",0,0,157,"91.3",180,144,36,33,"18.3",13,78824.1921,5.5352,853.5381,302.6512,109.9831,66.0756,8.6285,4.4015,0.2862,0.083,34.9238,1.366
"892000","Gewaltkriminalität",15082,"Anhalt-Bitterfeld","LK",374,240,69,"18.4",2,6,325,"86.9",378,316,62,52,"13.8",10,153203.0464,9.8816,1172.0923,247.82,89.737,56.8592,8.778,5.079,0.2311,0.2019,37.9333,1.1488
"892000","Gewaltkriminalität",15083,"Börde","LK",309,182,61,"19.7",1,1,263,"85.1",275,244,31,40,"14.5",34,160442.2307,7.9311,976.5926,243.3297,100.0029,60.0045,8.9291,4.8376,0.273,0.1302,34.7906,2.7578
"892000","Gewaltkriminalität",15084,"Burgenlandkreis","LK",367,208,55,"15",0,4,295,"80.4",319,266,53,71,"22.3",33,171307.007,7.6004,927.9093,226.1155,97.3721,58.1096,8.4982,4.6012,0.2723,0.1186,37.9715,3.2976
"892000","Gewaltkriminalität",15085,"Harz","LK",489,234,104,"21.3",6,7,414,"84.7",465,389,76,64,"13.8",20,208671.0447,10.9256,1182.9892,223.4304,94.1735,58.9701,8.5965,4.8785,0.2365,0.1628,37.952,1.6923
"892000","Gewaltkriminalität",15086,"Jerichower Land","LK",230,258,47,"20.4",2,1,193,"83.9",204,177,27,33,"16.2",8,82880.2246,7.7802,1012.0145,254.6809,96.55,59.2456,7.805,5.1038,0.2494,0.1702,36.9946,3.5903
"892000","Gewaltkriminalität",15087,"Mansfeld-Südharz","LK",300,227,52,"17.3",3,3,276,"92",298,251,47,52,"17.4",22,132825.303,9.4653,1054.2808,212.3721,94.3891,57.1194,7.7709,4.7627,0.2428,0.1247,40.4512,2.8581
"892000","Gewaltkriminalität",15088,"Saalekreis","LK",387,212,81,"20.9",3,1,350,"90.4",426,360,66,114,"26.8",20,175061.3364,8.6037,1046.2697,235.2696,96.603,58.7366,7.22,5.064,0.2709,0.158,36.3043,2.2291
"892000","Gewaltkriminalität",15089,"Salzlandkreis","LK",388,209,61,"15.7",3,3,325,"83.8",397,324,73,60,"15.1",21,183431.563,9.4108,1063.1497,248.9869,91.3638,57.4822,10.07,4.7471,0.2361,0.1677,37.2913,-0.472
"892000","Gewaltkriminalität",15090,"Stendal","LK",268,244,47,"17.5",0,5,219,"81.7",259,213,46,45,"17.4",25,106094.3081,5.7529,786.987,278.7324,100.0556,61.7268,9.71,4.5348,0.2496,0.1024,37.978,2.2094
"892000","Gewaltkriminalität",15091,"Wittenberg","LK",258,209,46,"17.8",4,0,219,"84.9",269,223,46,55,"20.4",9,117961.5334,7.92,968.6597,240.4117,93.1756,59.4909,8.3078,4.7767,0.2335,0.162,39.505,0.4341
"892000","Gewaltkriminalität",16051,"Erfurt","KfS",541,254,101,"18.7",2,3,412,"76.2",497,408,89,194,"39",1,234999.888,29.3383,1311.7483,80.1835,74.28,53.1295,4.33,6.48,0.2112,0.6746,29.7933,3.1639
"892000","Gewaltkriminalität",16052,"Gera","KfS",348,381,59,"17",0,0,278,"79.9",323,272,51,101,"31.3",1,104871.4721,23.0032,1285.9553,116.2933,72.45,55.1259,11.29,5.13,0.1745,0.6215,38.0273,4.193
"892000","Gewaltkriminalität",16053,"Jena","KfS",179,162,23,"12.8",0,1,118,"65.9",127,109,18,35,"27.6",1,105275.3603,29.7724,1279.9214,76.5968,73,51.5655,2.91,7.04,0.2202,0.6256,27.9345,5.3872
"892000","Gewaltkriminalität",16054,"Suhl","KfS",91,252,16,"17.6",0,1,82,"90.1",129,115,14,70,"54.3",1,34932.5966,14.5795,1033.1935,141.8155,77.41,54.3136,9.86,5.29,0.1857,0.5151,42.4682,8.5082
"892000","Gewaltkriminalität",16055,"Weimar","KfS",137,210,29,"21.2",0,0,102,"74.5",136,109,27,36,"26.5",1,60601.9472,23.3804,1324.1176,92.0735,78.75,53.2906,4.17,6.52,0.2224,0.4983,30.7982,3.6768
"892000","Gewaltkriminalität",16061,"Eichsfeld","LK",144,145,28,"19.4",1,1,126,"87.5",145,124,21,41,"28.3",68,94731.3063,9.947,1040.4337,171.2409,117.2032,57.6749,6.2172,4.8752,0.4175,0.0378,31.7821,6.9889
"892000","Gewaltkriminalität",16062,"Nordhausen","LK",183,224,28,"15.3",2,1,159,"86.9",165,145,20,27,"16.4",15,80301.7741,9.0125,911.814,173.3758,103.9727,60.316,7.26,4.4807,0.2878,0.101,37.5079,2.7381
"892000","Gewaltkriminalität",16063,"Wartburgkreis","LK",261,164,44,"16.9",3,3,224,"85.8",270,224,46,74,"27.4",32,104928.9946,9.3183,1033.7286,196.1009,105.4619,57.2262,7.1828,4.9327,0.3244,0.1087,36.0744,6.9645
"892000","Gewaltkriminalität",16064,"Unstrut-Hainich-Kreis","LK",208,205,44,"21.2",1,0,183,"88",213,188,25,41,"19.2",30,98046.6614,9.4314,1053.2021,205.0472,110.3357,59.815,9.5392,4.7577,0.3529,0.0662,34.8439,4.5132
"892000","Gewaltkriminalität",16065,"Kyffhäuserkreis","LK",129,177,37,"28.7",1,0,116,"89.9",131,113,18,27,"20.6",28,72319.2997,8.4514,1007.5436,221.6683,105.0571,59.8517,10.6477,4.42,0.2937,0.0532,38.1175,0.7767
"892000","Gewaltkriminalität",16066,"Schmalkalden-Meiningen","LK",189,153,29,"15.3",0,0,170,"89.9",224,190,34,54,"24.1",39,120690.371,9.9551,1033.4585,180.3152,104.9305,56.8958,7.3506,4.6846,0.3205,0.0807,36.4789,4.7353
"892000","Gewaltkriminalität",16067,"Gotha","LK",335,250,75,"22.4",0,0,279,"83.3",308,246,62,103,"33.4",30,127597.5547,11.2414,1157.1724,190.6136,103.725,56.7417,4.829,4.958,0.3253,0.1071,34.2652,2.9429
"892000","Gewaltkriminalität",16068,"Sömmerda","LK",95,138,17,"17.9",0,1,83,"87.4",97,76,21,20,"20.6",38,66115.4892,10.0868,1136.4468,217.1913,108.3492,58.5284,5.8871,5.2924,0.3303,0.0688,33.7514,2.114
"892000","Gewaltkriminalität",16069,"Hildburghausen","LK",94,151,11,"11.7",0,1,81,"86.2",101,90,11,16,"15.8",32,61087.5534,8.289,951.0557,180.9655,110.2709,59.4799,8.23,4.6296,0.3542,0.0439,36.4254,5.8304
"892000","Gewaltkriminalität",16070,"Ilm-Kreis","LK",203,193,38,"18.7",0,0,169,"83.3",185,149,36,42,"22.7",16,100668.6191,9.9401,1085.4,188.2052,102.6394,56.176,6.3273,5.3056,0.3271,0.1045,34.3652,9.0196
"892000","Gewaltkriminalität",16071,"Weimarer Land","LK",137,167,30,"21.9",0,1,116,"84.7",126,106,20,17,"13.5",39,76644.3068,8.5188,996.6244,194.9167,110.3456,57.2499,6.4471,5.3114,0.3435,0.0616,32.4543,6.658
"892000","Gewaltkriminalität",16072,"Sonneberg","LK",105,186,17,"16.2",0,1,95,"90.5",110,88,22,24,"21.8",8,55960.9656,9.529,858.6107,147.8397,92.2225,58.5755,8.8062,5.0312,0.2502,0.1231,39.3761,4.6803
"892000","Gewaltkriminalität",16073,"Saalfeld-Rudolstadt","LK",159,157,27,"17",0,0,143,"89.9",175,153,22,34,"19.4",26,100786.4859,8.1741,853.4012,172.0794,96.2596,52.7389,11.0448,4.6404,0.272,0.097,39.5216,5.2168
"892000","Gewaltkriminalität",16074,"Saale-Holzland-Kreis","LK",108,131,26,"24.1",0,0,99,"91.7",110,91,19,18,"16.4",91,78382.2513,7.0867,859.8676,203.7367,108.2654,57.4151,7.9384,5.3591,0.3422,0.0716,35.6087,4.7192
"892000","Gewaltkriminalität",16075,"Saale-Orla-Kreis","LK",87,110,20,"23",0,1,77,"88.5",96,88,8,20,"20.8",59,77925.154,6.7286,859.5543,222.311,105.6436,55.5474,9.6794,4.9666,0.3276,0.0627,35.9388,6.8701
"892000","Gewaltkriminalität",16076,"Greiz","LK",116,121,30,"25.9",0,1,105,"90.5",121,103,18,23,"19",45,95016.5422,7.0609,913.6207,226.5194,101.5118,56.8669,9.3341,4.555,0.285,0.1049,37.806,7.1257
"892000","Gewaltkriminalität",16077,"Altenburger Land","LK",125,142,16,"12.8",0,1,104,"83.2",117,105,12,14,"12",30,87373.9854,7.1711,900.1146,218.7065,96.5893,57.8249,10.5128,4.563,0.2558,0.1097,38.6354,5.2271
